timestamp,image_path,x_window,y_window,z_window,theta_window
1751541542.7136896,images/image_1751541542.7136896.png,"[0.29413, 0.30342, 0.3111, 0.32098, 0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272]","[-0.01504, -0.01538, -0.01641, -0.01697, -0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06789330790257937, -0.0698131700797732, -0.06859143960337709, -0.06859143960337707, -0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843]"
1751541542.7829816,images/image_1751541542.7829816.png,"[0.29413, 0.30342, 0.3111, 0.32098, 0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272]","[-0.01504, -0.01538, -0.01641, -0.01697, -0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06789330790257937, -0.0698131700797732, -0.06859143960337709, -0.06859143960337707, -0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843]"
1751541542.8519154,images/image_1751541542.8519154.png,"[0.30342, 0.3111, 0.32098, 0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121]","[-0.01538, -0.01641, -0.01697, -0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.0698131700797732, -0.06859143960337709, -0.06859143960337707, -0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844]"
1751541542.9205225,images/image_1751541542.9205225.png,"[0.3111, 0.32098, 0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831]","[-0.01641, -0.01697, -0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06859143960337709, -0.06859143960337707, -0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615]"
1751541543.009149,images/image_1751541543.009149.png,"[0.32098, 0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831, 0.80857]","[-0.01697, -0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351, -0.05406]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06859143960337707, -0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615, -0.0811578102177363]"
1751541543.0588303,images/image_1751541543.0588303.png,"[0.32098, 0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831, 0.80857]","[-0.01697, -0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351, -0.05406]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06859143960337707, -0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615, -0.0811578102177363]"
1751541543.127367,images/image_1751541543.127367.png,"[0.33281, 0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831, 0.80857, 0.82103]","[-0.01736, -0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351, -0.05406, -0.05499]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06998770300497242, -0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615, -0.0811578102177363, -0.08185594191853389]"
1751541543.1960926,images/image_1751541543.1960926.png,"[0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831, 0.80857, 0.82103, 0.83143]","[-0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351, -0.05406, -0.05499, -0.05593]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615, -0.0811578102177363, -0.08185594191853389, -0.0822050077689328]"
1751541543.2653508,images/image_1751541543.2653508.png,"[0.34327, 0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831, 0.80857, 0.82103, 0.83143]","[-0.01791, -0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351, -0.05406, -0.05499, -0.05593]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.06981317007977308, -0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615, -0.0811578102177363, -0.08185594191853389, -0.0822050077689328]"
1751541543.333662,images/image_1751541543.333662.png,"[0.35026, 0.35918, 0.37205, 0.38322, 0.39164, 0.39785, 0.40942, 0.4237, 0.43247, 0.43913, 0.44868, 0.4606, 0.47318, 0.48161, 0.48874, 0.50051, 0.51331, 0.52293, 0.5295, 0.53907, 0.552, 0.56322, 0.57146, 0.57945, 0.59079, 0.60302, 0.61262, 0.62001, 0.63025, 0.6422, 0.65379, 0.6617, 0.66959, 0.68222, 0.69428, 0.7027, 0.7094, 0.71933, 0.73269, 0.74357, 0.75053, 0.75888, 0.7702, 0.78272, 0.79121, 0.79831, 0.80857, 0.82103, 0.83143, 0.8391]","[-0.01852, -0.01891, -0.01983, -0.02089, -0.02236, -0.02251, -0.02332, -0.02484, -0.02582, -0.0258, -0.0266, -0.02739, -0.0283, -0.02906, -0.02955, -0.03037, -0.03151, -0.03241, -0.03289, -0.03325, -0.03389, -0.03474, -0.03548, -0.03629, -0.03753, -0.03832, -0.03913, -0.03965, -0.04031, -0.04144, -0.04213, -0.04324, -0.04407, -0.04504, -0.04595, -0.04655, -0.04655, -0.04727, -0.04806, -0.0489, -0.04929, -0.04984, -0.05081, -0.05204, -0.053, -0.05351, -0.05406, -0.05499, -0.05593, -0.05675]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.07051130178057075, -0.07155849933176739, -0.07103490055616915, -0.07173303225696678, -0.07016223593017187, -0.07086036763096969, -0.07173303225696687, -0.07086036763096963, -0.07208209810736572, -0.07347836150896118, -0.07243116395776451, -0.07278022980816339, -0.07295476273336296, -0.07295476273336288, -0.07365289443416072, -0.07382742735936006, -0.07435102613495825, -0.07470009198535725, -0.07417649320975889, -0.07452555906015777, -0.07487462491055669, -0.075398223686155, -0.07522369076095546, -0.07504915783575601, -0.0752236907609555, -0.0753982236861549, -0.07557275661135436, -0.07609635538695263, -0.07661995416255098, -0.0773180858633486, -0.07784168463894707, -0.07801621756414644, -0.07836528341454528, -0.07836528341454527, -0.07888888219014356, -0.07906341511534298, -0.07923794804054246, -0.07941248096574184, -0.07976154681614067, -0.08011061266653953, -0.07993607974134018, -0.07976154681614078, -0.07976154681614084, -0.08045967851693843, -0.08045967851693844, -0.08115781021773615, -0.0811578102177363, -0.08185594191853389, -0.0822050077689328, -0.08220500776893282]"
